Dataset,Model,Column,Size of Dataset,Num Classes,Imbalance Ratio,Multi-Minority/Majority,Minority Class,Euclidean distance,Chebyshev distance,Kullback Leibler divergence,Hellinger distance,Total variation distance,Chi-square divergence
BPIC12,Camargo_concat,LAST RESOURCE,259,9,6,Multi-minority,56.00000000000001,4.308435973840609,4.258687258687258,4.1222235668281435,4.303708630098693,4.409266409266409,4.095132749959005
BPIC12,Camargo_concat,NEXT RESOURCE,259,23,48,Multi-minority,74.0,16.32244727301817,16.191914603679308,16.23454558909294,16.46871071406045,16.571655689302748,16.103972243876854
BPIC12,Camargo_concat,NEXT ACTIVITY,259,32,30,Multi-minority,78.0,24.213488672531874,24.108262548262548,24.13660848436759,24.365967418623647,24.43166023166023,24.04557741329942
BPIC12,Camargo_concat,OUTCOME ACTIVITY,259,7,14,Multi-minority,56.99999999999999,3.444921017112279,3.331081081081081,3.2592068447927085,3.456016554169964,3.581081081081081,3.197954711468225
BPIC12,MiDA,LAST RESOURCE,259,9,6,Multi-minority,56.00000000000001,4.308435973840609,4.258687258687258,4.1222235668281435,4.303708630098693,4.409266409266409,4.095132749959005
BPIC12,MiDA,NEXT RESOURCE,259,23,48,Multi-minority,74.0,16.32244727301817,16.191914603679308,16.23454558909294,16.46871071406045,16.571655689302748,16.103972243876854
BPIC12,MiDA,NEXT ACTIVITY,259,32,30,Multi-minority,78.0,24.213488672531874,24.108262548262548,24.13660848436759,24.365967418623647,24.43166023166023,24.04557741329942
BPIC12,MiDA,OUTCOME ACTIVITY,259,7,14,Multi-minority,56.99999999999999,3.444921017112279,3.331081081081081,3.2592068447927085,3.456016554169964,3.581081081081081,3.197954711468225
BPIC12,MPPN,LAST RESOURCE,259,9,6,Multi-minority,56.00000000000001,4.308435973840609,4.258687258687258,4.1222235668281435,4.303708630098693,4.409266409266409,4.095132749959005
BPIC12,MPPN,NEXT RESOURCE,259,23,48,Multi-minority,74.0,16.32244727301817,16.191914603679308,16.23454558909294,16.46871071406045,16.571655689302748,16.103972243876854
BPIC12,MPPN,NEXT ACTIVITY,259,32,30,Multi-minority,78.0,24.213488672531874,24.108262548262548,24.13660848436759,24.365967418623647,24.43166023166023,24.04557741329942
BPIC12,MPPN,OUTCOME ACTIVITY,259,7,14,Multi-minority,56.99999999999999,3.444921017112279,3.331081081081081,3.2592068447927085,3.456016554169964,3.581081081081081,3.197954711468225
BPIC12,Tax_Spezialized,NEXT ACTIVITY,259,32,30,Multi-minority,78.0,24.213488672531874,24.108262548262548,24.13660848436759,24.365967418623647,24.43166023166023,24.04557741329942
BPIC12,Tax_Spezialized,OUTCOME ACTIVITY,259,7,14,Multi-minority,56.99999999999999,3.444921017112279,3.331081081081081,3.2592068447927085,3.456016554169964,3.581081081081081,3.197954711468225
